episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
1,18,0.931723277,1.015414499,-66.60438282,30,0.6,4,0.08,FALSE,TRUE,2.840224748,12,23.1182218,23.041,in_progress,0
1,19,0.950353551,0.975333066,-66.33541226,-30,0.6,0,0.08,FALSE,TRUE,2.840224748,12,23.1182218,23.097,in_progress,0
1,20,0.966297969,0.941217733,-66.02361657,-15,0.6,1,0.1,FALSE,TRUE,2.92968034,12,23.1182218,23.169,in_progress,0
1,21,0.984210877,0.900317851,-66.08552087,-30,0.6,0,0.08,FALSE,TRUE,3.057535773,12,23.1182218,23.228,in_progress,0
1,22,0.998697747,0.859758262,-66.79002913,0,0.6,2,0.1,FALSE,TRUE,3.170830975,13,23.1182218,23.297,in_progress,0
1,23,1.011780768,0.820873585,-67.49839231,0,0.6,2,0.1,FALSE,TRUE,3.276129696,13,23.1182218,23.375,in_progress,0
1,24,1.027142528,0.777106236,-68.11607553,-15,0.6,1,0.1,FALSE,TRUE,3.397269671,13,23.1182218,23.424,in_progress,0
1,25,1.03749984,0.740424398,-69.05629947,-15,0.6,1,0.1,FALSE,TRUE,3.488429718,13,23.1182218,23.493,in_progress,0
1,26,1.048282904,0.698024744,-70.19149476,15,0.6,3,0.001,FALSE,FALSE,3.492890777,13,23.1182218,23.554,in_progress,0
1,27,1.059669681,0.649896819,-71.46997744,-30,0.6,0,0.0008,FALSE,FALSE,3.492890777,13,23.1182218,23.622,in_progress,0
1,28,1.070707591,0.609326009,-72.00256771,30,0.6,4,0.0008,FALSE,FALSE,3.492890777,13,23.1182218,23.699,in_progress,0
1,29,1.081504708,0.566002246,-72.71511657,15,0.6,3,0.001,FALSE,FALSE,3.492890777,13,23.1182218,23.759,in_progress,0
1,30,1.091272665,0.528659509,-73.12553402,-30,0.6,0,0.0008,FALSE,FALSE,3.492890777,13,23.1182218,23.822,in_progress,0
1,31,1.101489261,0.488013781,-73.58056876,0,0.6,2,0.001,FALSE,FALSE,3.507097218,13,23.1182218,23.901,in_progress,0
1,32,1.110987765,0.440482467,-74.62015114,0,0.6,2,0.001,TRUE,FALSE,3.573760962,13,23.1182218,23.968,off_track,0
2,1,1.677050702,1.209924461,4.602992945,30,0.6,4,0,FALSE,TRUE,0.606285541,16,23.1182218,24.086,prepare,0
2,2,1.676834131,1.209925376,4.597647455,0,0.6,2,1,FALSE,TRUE,0.605357741,16,23.1182218,24.164,in_progress,0
2,3,1.683362802,1.210522714,4.615635384,30,0.6,4,0.8,FALSE,TRUE,0.633689502,16,23.1182218,24.229,in_progress,0
2,4,1.702210706,1.211372691,4.405896,-15,0.6,1,1,FALSE,TRUE,0.714974344,16,23.1182218,24.294,in_progress,0
2,5,1.733157551,1.214856438,4.668085966,-15,0.6,1,1,FALSE,TRUE,0.849649416,17,23.1182218,24.377,in_progress,0
2,6,1.775421935,1.215689374,4.049356636,0,0.6,2,1,FALSE,TRUE,1.031299334,17,23.1182218,24.447,in_progress,0
2,7,1.817111534,1.218456766,4.00702292,0,0.6,2,1,FALSE,TRUE,1.210140872,17,23.1182218,24.512,in_progress,0
2,8,1.856809774,1.223341252,4.523687693,0,0.6,2,1,FALSE,TRUE,1.383022585,17,23.1182218,24.558,in_progress,0
2,9,1.904652352,1.226456866,4.358233727,30,0.6,4,0.8,FALSE,TRUE,1.58944549,18,23.1182218,24.627,in_progress,0
2,10,1.940658392,1.230624681,4.69272845,-30,0.6,0,0.8,FALSE,TRUE,1.746065625,18,23.1182218,24.699,in_progress,0
2,11,1.994468659,1.238274281,5.478470532,0,0.6,2,1,FALSE,TRUE,1.980751653,18,23.1182218,24.76,in_progress,0
2,12,2.032181378,1.241792493,5.488889267,15,0.6,3,1,FALSE,TRUE,2.144162046,19,23.1182218,24.831,in_progress,0
2,13,2.080346921,1.249673114,6.226118336,30,0.6,4,0.8,FALSE,TRUE,2.355275787,19,23.1182218,24.899,in_progress,0
2,14,2.117797107,1.259590269,7.658816094,-15,0.6,1,1,FALSE,TRUE,2.522443367,19,23.1182218,24.964,in_progress,0
2,15,2.158266084,1.269707631,8.767198333,30,0.6,4,0.8,FALSE,TRUE,2.702259302,19,23.1182218,25.027,in_progress,0
2,16,2.203237677,1.283616639,10.37849357,-30,0.6,0,0.8,FALSE,TRUE,2.903939399,20,23.1182218,25.105,in_progress,0
2,17,2.249210772,1.298231669,11.8785076,0,0.6,2,1,FALSE,TRUE,3.110525326,20,23.1182218,25.158,in_progress,0
2,18,2.286520103,1.31075102,12.92291143,0,0.6,2,1,FALSE,TRUE,3.278314699,20,23.1182218,25.221,in_progress,0
2,19,2.32904855,1.324894127,13.92466337,30,0.6,4,0.8,FALSE,TRUE,3.469490961,21,23.1182218,25.275,in_progress,0
2,20,2.369569655,1.341639572,15.45420809,-15,0.6,1,1,FALSE,TRUE,3.653817024,21,23.1182218,25.365,in_progress,0
2,21,2.414587306,1.361111921,17.10219816,-15,0.6,1,1,FALSE,TRUE,3.849476673,21,23.1182218,25.432,in_progress,0
2,22,2.456730925,1.377463206,17.86615151,30,0.6,4,0.8,FALSE,TRUE,4.037253623,21,23.1182218,25.502,in_progress,0
2,23,2.492709106,1.394182095,19.04336296,-15,0.6,1,1,FALSE,TRUE,4.198602201,22,23.1182218,25.575,in_progress,0
2,24,2.531076052,1.412206838,20.13770207,30,0.6,4,0.8,FALSE,TRUE,4.370737464,22,23.1182218,25.625,in_progress,0
2,25,2.565409931,1.429891177,21.27386513,-15,0.6,1,1,FALSE,TRUE,4.480568742,22,23.1182218,25.713,in_progress,0
2,26,2.613756075,1.45448513,22.50427843,0,0.6,2,0.5,FALSE,TRUE,4.686915821,22,23.1182218,25.757,in_progress,0
2,27,2.647047805,1.471140153,23.12687767,-30,0.6,0,0.4,FALSE,TRUE,4.829039811,23,23.1182218,25.821,in_progress,0
2,28,2.694919066,1.492944932,23.45556614,-15,0.6,1,0.5,FALSE,TRUE,5.027466914,23,23.1182218,25.895,in_progress,0
2,29,2.734063603,1.51052038,23.59082357,0,0.6,2,0.5,FALSE,TRUE,5.112604364,23,23.1182218,25.959,in_progress,0
2,30,2.76943166,1.526015394,23.58873428,-30,0.6,0,0.4,FALSE,TRUE,5.254836325,23,23.1182218,26.021,in_progress,0
2,31,2.813579225,1.542283506,22.97536201,15,0.6,3,0.5,FALSE,TRUE,5.434215848,24,23.1182218,26.098,in_progress,0
2,32,2.856624388,1.557931849,22.39751524,15,0.6,3,0.5,FALSE,TRUE,5.609244026,24,23.1182218,26.161,in_progress,0
2,33,2.900887361,1.575064052,22.15906412,0,0.6,2,0.1,FALSE,TRUE,5.680536965,24,23.1182218,26.23,in_progress,0
2,34,2.946197203,1.595300664,22.54552898,30,0.6,4,0.08,FALSE,TRUE,5.745627576,24,23.1182218,26.308,in_progress,0
2,35,2.985266139,1.614483043,23.19108966,30,0.6,4,0.08,FALSE,TRUE,5.880901372,24,23.1182218,26.358,in_progress,0
2,36,3.018820872,1.633243718,24.14693466,30,0.6,4,0.08,FALSE,TRUE,5.994040923,24,23.1182218,26.421,in_progress,0
2,37,3.057027091,1.659081736,26.01651391,-30,0.6,0,0.08,FALSE,TRUE,6.116907075,25,23.1182218,26.492,in_progress,0
2,38,3.095416322,1.686051719,27.77089377,-15,0.6,1,0.1,FALSE,TRUE,6.239020131,25,23.1182218,26.56,in_progress,0
2,39,3.132528674,1.710526073,28.80743436,-30,0.6,0,0.08,FALSE,TRUE,6.333344847,25,23.1182218,26.626,in_progress,0
2,40,3.17631622,1.738062824,29.50656975,15,0.6,3,0.1,FALSE,TRUE,6.333344847,25,23.1182218,26.69,in_progress,0
2,41,3.214370473,1.763197929,30.29923729,15,0.6,3,0.001,FALSE,FALSE,6.333344847,25,23.1182218,26.768,in_progress,0
2,42,3.251569449,1.789490967,31.24839447,-30,0.6,0,0.0008,FALSE,FALSE,6.333344847,25,23.1182218,26.821,in_progress,0
2,43,3.283305289,1.811338061,31.75997762,15,0.6,3,0.001,FALSE,FALSE,6.36311168,25,23.1182218,26.891,in_progress,0
2,44,3.320319539,1.837936226,32.51430604,30,0.6,4,0.0008,FALSE,FALSE,6.449701402,25,23.1182218,26.949,in_progress,0
2,45,3.352689048,1.866851939,34.17253843,0,0.6,2,0.001,FALSE,FALSE,6.513847972,25,23.1182218,27.022,in_progress,0
2,46,3.386366957,1.898790708,35.94030618,-15,0.6,1,0.001,FALSE,FALSE,6.576791335,25,23.1182218,27.095,in_progress,0
2,47,3.417761726,1.926383405,36.92081668,30,0.6,4,0.0008,TRUE,FALSE,6.639932177,25,23.1182218,27.161,off_track,0
3,1,2.823307531,1.330130957,-1.415040032,15,0.6,3,0,FALSE,TRUE,0.602974167,24,23.1182218,27.282,prepare,0
3,2,2.823031735,1.330007267,-1.460094662,-30,0.6,0,0.8,FALSE,TRUE,0.601866773,24,23.1182218,27.362,in_progress,0
3,3,2.832329899,1.330861987,-1.240899934,0,0.6,2,1,FALSE,TRUE,0.641187321,24,23.1182218,27.427,in_progress,0
3,4,2.843417507,1.331658163,-1.066160208,-15,0.6,1,1,FALSE,TRUE,0.680536965,24,23.1182218,27.493,in_progress,0
3,5,2.87443176,1.333262065,-0.597862357,30,0.6,4,0.8,FALSE,TRUE,0.798957329,24,23.1182218,27.553,in_progress,0
3,6,2.906326543,1.333585379,-0.467474678,30,0.6,4,0.8,FALSE,TRUE,0.9298,24,23.1182218,27.622,in_progress,0
3,7,2.950819378,1.336971487,0.366984991,15,0.6,3,1,FALSE,TRUE,1.10841812,25,23.1182218,27.696,in_progress,0
3,8,3.000229947,1.344550394,2.06073736,15,0.6,3,1,FALSE,TRUE,1.301697225,25,23.1182218,27.764,in_progress,0
3,9,3.046753633,1.355120924,4.200625158,30,0.6,4,0.4,FALSE,TRUE,1.395710132,25,23.1182218,27.824,in_progress,0
